team,home_away,w_l_d,shutouts,all_red,all_yellow,foul_mean,foul_median,score_mean,score_med,goal_rate,Draw,Loss,Win,wld_ratio,win_percent
Belmont Bruins,Away,0.43181818181818177,8,0,7,9.454545454545455,9,0.6363636363636364,0.5,0.0880503144654088,5,10,7,7-10-5,31.818181818181817
Belmont Bruins,Home,0.5681818181818181,10,0,2,8.454545454545455,9,1.1363636363636362,1,0.11737089201877934,3,8,11,11-8-3,50
Binghamton Bearcats,Away,0.5384615384615384,7,0,17,11.461538461538462,11,1.576923076923077,1,0.10789473684210527,4,10,12,12-10-4,46.15384615384615
Binghamton Bearcats,Home,0.65,9,0,23,10.7,10,1.7,1,0.11888111888111888,4,5,11,11-5-4,55.00000000000001
Boise St. Broncos,Away,0.4375,8,0,27,10.541666666666666,11,1.125,0.5,0.10546875,5,11,8,8-11-5,33.33333333333333
Boise St. Broncos,Home,0.6964285714285714,15,1,23,12.035714285714286,12,1.4642857142857142,1,0.09030837004405286,7,5,16,16-5-7,57.14285714285714
Boston College Eagles,Away,0.34615384615384615,3,1,17,9.115384615384615,8.5,1.4615384615384615,1,0.13380281690140844,4,15,7,7-15-4,26.923076923076923
Boston College Eagles,Home,0.39583333333333337,4,0,14,10.125,10,1.3333333333333335,1,0.09907120743034056,3,13,8,8-13-3,33.33333333333333
Boston U. Terriers,Away,0.6904761904761905,8,0,9,8.095238095238095,8,1.3333333333333333,1,0.1206896551724138,3,5,13,13-5-3,61.904761904761905
Boston U. Terriers,Home,0.5,8,0,8,8.208333333333334,8.5,1.125,1,0.09818181818181818,2,11,11,11-11-2,45.83333333333333
Bowling Green Falcons,Away,0.5833333333333334,10,0,28,12.25,12.5,1.7916666666666665,1.5,0.14576271186440679,4,8,12,12-8-4,50
Bowling Green Falcons,Home,0.6875,14,0,28,14.125,14,1.7083333333333335,1,0.10649350649350649,5,5,14,14-5-5,58.333333333333336
Brown Bears,Away,0.7058823529411764,7,0,7,11.117647058823529,11,2.0588235294117645,1,0.14957264957264957,2,4,11,11-4-2,64.70588235294117
Brown Bears,Home,0.8529411764705882,8,0,11,10.117647058823529,10,3,3,0.16139240506329114,1,2,14,14-2-1,82.35294117647058
Bryant Bulldogs,Away,0.2727272727272727,4,0,16,6.7727272727272725,7,0.6818181818181819,1,0.06465517241379311,2,15,5,5-15-2,22.727272727272727
Bryant Bulldogs,Home,0.47619047619047616,8,0,4,7.857142857142857,7,1.3333333333333333,1,0.10526315789473684,2,10,9,9-10-2,42.857142857142854
Bucknell Bison,Away,0.4444444444444444,13,0,17,9.592592592592593,9,0.7037037037037037,1,0.05475504322766571,4,13,10,10-13-4,37.03703703703704
Bucknell Bison,Home,0.675,10,0,6,8.75,9.5,1.65,1,0.09116022099447514,7,3,10,10-3-7,50
Buffalo Bulls,Away,0.6458333333333334,13,0,13,8.458333333333334,9,1.2916666666666665,1,0.11151079136690648,5,6,13,13-6-5,54.166666666666664
Buffalo Bulls,Home,0.9,13,0,11,7.92,8,2.24,2,0.12334801762114538,3,1,21,21-1-3,84
Butler Bulldogs,Away,0.6304347826086957,8,2,15,9.26086956521739,9,1.8695652173913042,1,0.14052287581699346,3,7,13,13-7-3,56.52173913043478
Butler Bulldogs,Home,0.7068965517241379,11,0,14,8.344827586206897,8,2.3448275862068964,2,0.14166666666666666,3,7,19,19-7-3,65.51724137931035
CSU Bakersfield Roadrunners,Away,0.2857142857142857,3,0,22,9.666666666666666,9,0.8571428571428571,1,0.11464968152866242,4,13,4,4-13-4,19.047619047619047
CSU Bakersfield Roadrunners,Home,0.3125,0,1,16,9,8,0.9375,0.5,0.10067114093959731,4,9,3,3-9-4,18.75
CSUN Matadors,Away,0.15909090909090912,0,1,28,12.227272727272727,10.5,0.9090909090909091,1,0.10416666666666667,1,18,3,3-18-1,13.636363636363635
CSUN Matadors,Home,0.1764705882352941,2,0,16,10.058823529411764,8,0.6470588235294119,0,0.06707317073170732,0,14,3,3-14-0,17.647058823529413
Cal Poly Mustangs,Away,0.5,8,0,11,7.571428571428571,8,1.0952380952380953,1,0.09163346613545817,1,10,10,10-10-1,47.61904761904761
Cal Poly Mustangs,Home,0.6842105263157895,8,0,10,8.157894736842104,8,2.1052631578947367,2,0.1388888888888889,2,5,12,12-5-2,63.1578947368421
Cal St. Fullerton Titans,Away,0.475,6,0,11,9.3,9,1.25,1,0.11013215859030837,1,10,9,9-10-1,45
Cal St. Fullerton Titans,Home,0.6,8,0,14,7.85,8,1.5,1,0.11494252873563218,4,6,10,10-6-4,50
California Baptist Lancers,Away,0.43103448275862066,9,3,26,10.517241379310345,11,1.1724137931034482,1,0.08333333333333333,7,13,9,9-13-7,31.03448275862069
California Baptist Lancers,Home,0.7391304347826086,11,1,25,11.347826086956522,10,2.130434782608696,2,0.11187214611872145,4,4,15,15-4-4,65.21739130434783
California Golden Bears,Away,0.537037037037037,12,1,13,8.851851851851851,8,1.1111111111111112,1,0.08522727272727272,3,11,13,13-11-3,48.148148148148145
California Golden Bears,Home,0.54,8,0,15,8.4,7,1.08,1,0.07871720116618076,7,8,10,10-8-7,40
Campbell Camels,Away,0.6,7,2,11,7.4,8,1.72,1,0.1246376811594203,4,8,13,13-8-4,52
Campbell Camels,Home,0.8125,11,1,17,8.166666666666666,8,3.083333333333333,3,0.1574468085106383,3,3,18,18-3-3,75
Canisius Golden Griffins,Away,0.1923076923076923,5,3,31,11.076923076923077,11,0.4230769230769231,0,0.0421455938697318,10,16,0,0-16-10,0
Canisius Golden Griffins,Home,0.3888888888888889,5,0,13,10.444444444444445,10,1.0555555555555556,1,0.0892018779342723,2,10,6,6-10-2,33.33333333333333
Central Ark.  Sugar Bears,Away,0.40625,9,1,14,6,6,1.1875,1,0.10888252148997135,4,17,11,11-17-4,34.375
Central Ark.  Sugar Bears,Home,0.6071428571428571,9,1,18,7.178571428571429,7,2.0357142857142856,2,0.14214463840399003,2,10,16,16-10-2,57.14285714285714
Central Conn. St. Blue Devils,Away,0.5952380952380952,11,0,9,8.380952380952381,8,1.4285714285714284,1,0.1079136690647482,1,8,12,12-8-1,57.14285714285714
Central Conn. St. Blue Devils,Home,0.7608695652173912,12,0,7,9.304347826086957,9,1.8695652173913042,2,0.13230769230769232,1,5,17,17-5-1,73.91304347826086
Central Mich. Chippewas,Away,0.39583333333333337,6,0,16,9.583333333333332,9,1,1,0.08921933085501858,3,13,8,8-13-3,33.33333333333333
Central Mich. Chippewas,Home,0.45238095238095244,4,0,14,8.904761904761905,7,1.2857142857142858,1,0.1134453781512605,3,10,8,8-10-3,38.095238095238095
Charleston So. Buccaneers,Away,0.31818181818181823,6,0,14,6.818181818181818,6.5,0.8181818181818181,1,0.0782608695652174,2,14,6,6-14-2,27.27272727272727
Charleston So. Buccaneers,Home,0.4736842105263158,8,0,13,7.578947368421052,7,1.5789473684210524,1,0.11673151750972763,4,8,7,7-8-4,36.84210526315789
Charlotte 49ers,Away,0.3125,5,0,16,8.833333333333334,9,0.7916666666666667,0,0.09223300970873786,3,15,6,6-15-3,25
Charlotte 49ers,Home,0.5869565217391305,7,1,27,10.173913043478262,10,1.4782608695652173,1,0.10179640718562874,5,7,11,11-7-5,47.82608695652174
Chattanooga Mocs,Away,0.391304347826087,7,0,12,9.391304347826088,9,0.7391304347826088,1,0.07296137339055794,2,13,8,8-13-2,34.78260869565217
Chattanooga Mocs,Home,0.6346153846153846,12,0,18,11.26923076923077,11,1.0384615384615385,1,0.08653846153846154,7,6,13,13-6-7,50
Chicago St. Cougars,Away,0.125,0,2,36,9.71875,10,0.78125,0.5,0.11261261261261261,0,28,4,4-28-0,12.5
